delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,242,1.4084,-1.6405,0.2257,-1.6901
pos,243,1.4298,-1.6396,0.2249,-1.6902
pos,244,1.4511,-1.6386,0.2242,-1.6903
pos,245,1.4724,-1.6377,0.2237,-1.6904
pos,246,1.4937,-1.6366,0.2233,-1.6905
pos,247,1.5150,-1.6356,0.2230,-1.6906
pos,248,1.5363,-1.6345,0.2229,-1.6907
pos,249,1.5576,-1.6334,0.2228,-1.6908
pos,250,1.5789,-1.6323,0.2229,-1.6909
pos,251,1.6002,-1.6311,0.2231,-1.6910
pos,252,1.6214,-1.6299,0.2235,-1.6910
pos,253,1.6427,-1.6286,0.2239,-1.6911
pos,254,1.6640,-1.6274,0.2245,-1.6912
pos,255,1.6852,-1.6261,0.2252,-1.6913
pos,256,1.7065,-1.6247,0.2261,-1.6913
pos,257,1.7278,-1.6234,0.2270,-1.6914
pos,258,1.7492,-1.6220,0.2281,-1.6915
pos,259,1.7705,-1.6205,0.2294,-1.6915
pos,260,1.7919,-1.6190,0.2307,-1.6916
pos,261,1.8133,-1.6175,0.2322,-1.6916
pos,262,1.8348,-1.6160,0.2338,-1.6917
pos,263,1.8563,-1.6144,0.2356,-1.6917
pos,264,1.8779,-1.6128,0.2376,-1.6918
pos,265,1.8995,-1.6112,0.2397,-1.6918
pos,266,1.9212,-1.6095,0.2419,-1.6918
pos,267,1.9430,-1.6078,0.2443,-1.6919
pos,268,1.9648,-1.6061,0.2470,-1.6919
pos,269,1.9866,-1.6043,0.2498,-1.6919
pos,270,2.0085,-1.6025,0.2528,-1.6920
pos,271,2.0305,-1.6007,0.2560,-1.6920
pos,272,2.0526,-1.5988,0.2594,-1.6920
pos,273,2.0747,-1.5970,0.2630,-1.6920
pos,274,2.0968,-1.5951,0.2669,-1.6920
pos,275,2.1190,-1.5931,0.2710,-1.6920
pos,276,2.1413,-1.5912,0.2754,-1.6920
pos,277,2.1636,-1.5892,0.2800,-1.6920
pos,278,2.1859,-1.5872,0.2849,-1.6920
pos,279,2.2083,-1.5853,0.2900,-1.6920
pos,280,2.2308,-1.5837,0.2955,-1.6920
pos,281,2.2533,-1.5822,0.3012,-1.6920
pos,282,2.2759,-1.5808,0.3071,-1.6920
pos,283,2.2986,-1.5796,0.3134,-1.6920
pos,284,2.3212,-1.5786,0.3199,-1.6920
pos,285,2.3440,-1.5778,0.3266,-1.6920
pos,286,2.3667,-1.5770,0.3337,-1.6920
pos,287,2.3895,-1.5765,0.3410,-1.6920
pos,288,2.4123,-1.5761,0.3485,-1.6920
pos,289,2.4351,-1.5758,0.3564,-1.6920
pos,290,2.4579,-1.5757,0.3644,-1.6920
pos,291,2.4807,-1.5757,0.3728,-1.6920
pos,292,2.5035,-1.5759,0.3813,-1.6920
pos,293,2.5263,-1.5762,0.3901,-1.6919
pos,294,2.5491,-1.5767,0.3992,-1.6919
pos,295,2.5719,-1.5773,0.4085,-1.6919
pos,296,2.5948,-1.5780,0.4179,-1.6919
pos,297,2.6177,-1.5788,0.4275,-1.6919
pos,298,2.6405,-1.5797,0.4372,-1.6919
pos,299,2.6633,-1.5807,0.4470,-1.6919
pos,300,2.6860,-1.5818,0.4568,-1.6918
pos,301,2.7085,-1.5829,0.4668,-1.6918
pos,302,2.7310,-1.5841,0.4769,-1.6918
pos,303,2.7534,-1.5854,0.4870,-1.6918
pos,304,2.7757,-1.5868,0.4972,-1.6918
pos,305,2.7979,-1.5883,0.5074,-1.6918
