delay,25
params,0.7160,0.6421,0.9094,0.0015
pos,419,-1.7245,-1.8558,1.6961,-3.1518
pos,420,-1.7250,-1.8364,1.6987,-3.1519
pos,421,-1.7256,-1.8177,1.7010,-3.1519
pos,422,-1.7263,-1.7989,1.7031,-3.1520
pos,423,-1.7270,-1.7797,1.7050,-3.1520
pos,424,-1.7276,-1.7612,1.7068,-3.1520
pos,425,-1.7282,-1.7433,1.7084,-3.1521
pos,426,-1.7288,-1.7261,1.7098,-3.1521
pos,427,-1.7294,-1.7099,1.7110,-3.1522
pos,428,-1.7299,-1.6940,1.7121,-3.1522
pos,429,-1.7304,-1.6792,1.7130,-3.1522
pos,430,-1.7308,-1.6649,1.7138,-3.1523
pos,431,-1.7312,-1.6507,1.7145,-3.1524
pos,432,-1.7316,-1.6363,1.7151,-3.1525
pos,433,-1.7319,-1.6232,1.7156,-3.1525
pos,434,-1.7320,-1.6107,1.7160,-3.1526
pos,435,-1.7320,-1.5984,1.7164,-3.1527
pos,436,-1.7318,-1.5858,1.7167,-3.1527
pos,437,-1.7319,-1.5725,1.7169,-3.1528
pos,438,-1.7320,-1.5579,1.7171,-3.1529
pos,439,-1.7324,-1.5414,1.7173,-3.1529
pos,440,-1.7328,-1.5224,1.7175,-3.1530
pos,441,-1.7335,-1.5000,1.7176,-3.1530
pos,442,-1.7344,-1.4735,1.7178,-3.1531
pos,443,-1.7355,-1.4418,1.7179,-3.1532
pos,444,-1.7366,-1.4077,1.7179,-3.1532
pos,445,-1.7377,-1.3767,1.7178,-3.1533
pos,446,-1.7386,-1.3475,1.7175,-3.1533
pos,447,-1.7395,-1.3207,1.7171,-3.1533
pos,448,-1.7403,-1.2964,1.7167,-3.1534
pos,449,-1.7410,-1.2747,1.7162,-3.1534
pos,450,-1.7417,-1.2558,1.7157,-3.1535
pos,451,-1.7423,-1.2390,1.7151,-3.1535
pos,452,-1.7428,-1.2235,1.7145,-3.1535
pos,453,-1.7433,-1.2087,1.7138,-3.1536
pos,454,-1.7438,-1.1941,1.7129,-3.1536
pos,455,-1.7444,-1.1790,1.7119,-3.1536
pos,456,-1.7449,-1.1629,1.7107,-3.1536
pos,457,-1.7455,-1.1450,1.7093,-3.1537
pos,458,-1.7462,-1.1248,1.7076,-3.1537
pos,459,-1.7470,-1.1014,1.7055,-3.1537
pos,460,-1.7479,-1.0738,1.7029,-3.1537
pos,461,-1.7490,-1.0409,1.6998,-3.1537
pos,462,-1.7500,-1.0112,1.6969,-3.1537
pos,463,-1.7509,-0.9846,1.6941,-3.1537
pos,464,-1.7517,-0.9610,1.6916,-3.1537
pos,465,-1.7525,-0.9406,1.6894,-3.1537
pos,466,-1.7531,-0.9230,1.6873,-3.1537
pos,467,-1.7537,-0.9075,1.6854,-3.1537
pos,468,-1.7543,-0.8934,1.6836,-3.1536
pos,469,-1.7548,-0.8803,1.6817,-3.1536
pos,470,-1.7553,-0.8675,1.6797,-3.1536
pos,471,-1.7558,-0.8546,1.6776,-3.1536
pos,472,-1.7563,-0.8411,1.6752,-3.1535
pos,473,-1.7569,-0.8264,1.6724,-3.1535
pos,474,-1.7575,-0.8099,1.6692,-3.1535
pos,475,-1.7582,-0.7910,1.6654,-3.1534
pos,476,-1.7591,-0.7689,1.6609,-3.1534
pos,477,-1.7601,-0.7427,1.6554,-3.1533
pos,478,-1.7613,-0.7114,1.6488,-3.1533
pos,479,-1.7623,-0.6836,1.6426,-3.1532
pos,480,-1.7632,-0.6585,1.6368,-3.1532
pos,481,-1.7639,-0.6361,1.6313,-3.1531
pos,482,-1.7645,-0.6160,1.6261,-3.1531
pos,483,-1.7650,-0.5977,1.6211,-3.1530
pos,484,-1.7652,-0.5811,1.6163,-3.1530
pos,485,-1.7656,-0.5664,1.6118,-3.1529
pos,486,-1.7659,-0.5535,1.6076,-3.1529
pos,487,-1.7663,-0.5425,1.6038,-3.1529
pos,488,-1.7667,-0.5331,1.6004,-3.1528
pos,489,-1.7671,-0.5249,1.5973,-3.1528
pos,490,-1.7675,-0.5177,1.5942,-3.1528
pos,491,-1.7679,-0.5112,1.5912,-3.1527
pos,492,-1.7683,-0.5050,1.5880,-3.1527
pos,493,-1.7688,-0.4989,1.5845,-3.1527
pos,494,-1.7693,-0.4928,1.5806,-3.1526
pos,495,-1.7700,-0.4862,1.5762,-3.1526
