delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,288,-1.7035,-2.2247,1.9383,-3.1493
pos,289,-1.7038,-2.2241,1.9299,-3.1492
pos,290,-1.7042,-2.2235,1.9214,-3.1491
pos,291,-1.7045,-2.2228,1.9127,-3.1490
pos,292,-1.7049,-2.2221,1.9040,-3.1489
pos,293,-1.7052,-2.2214,1.8951,-3.1487
pos,294,-1.7056,-2.2207,1.8862,-3.1486
pos,295,-1.7060,-2.2199,1.8773,-3.1485
pos,296,-1.7063,-2.2192,1.8683,-3.1485
pos,297,-1.7067,-2.2184,1.8594,-3.1484
pos,298,-1.7071,-2.2176,1.8505,-3.1483
pos,299,-1.7075,-2.2168,1.8416,-3.1482
pos,300,-1.7078,-2.2160,1.8328,-3.1482
pos,301,-1.7082,-2.2151,1.8239,-3.1481
pos,302,-1.7086,-2.2142,1.8150,-3.1480
pos,303,-1.7090,-2.2133,1.8062,-3.1480
pos,304,-1.7093,-2.2124,1.7974,-3.1480
pos,305,-1.7097,-2.2115,1.7886,-3.1479
pos,306,-1.7101,-2.2105,1.7798,-3.1479
pos,307,-1.7105,-2.2096,1.7711,-3.1479
pos,308,-1.7109,-2.2086,1.7624,-3.1479
pos,309,-1.7113,-2.2076,1.7537,-3.1478
pos,310,-1.7116,-2.2065,1.7451,-3.1478
pos,311,-1.7120,-2.2055,1.7364,-3.1478
pos,312,-1.7124,-2.2044,1.7279,-3.1478
pos,313,-1.7128,-2.2033,1.7195,-3.1478
pos,314,-1.7132,-2.2021,1.7115,-3.1478
pos,315,-1.7136,-2.2010,1.7036,-3.1478
pos,316,-1.7140,-2.1998,1.6961,-3.1478
pos,317,-1.7144,-2.1986,1.6888,-3.1478
pos,318,-1.7147,-2.1974,1.6817,-3.1479
pos,319,-1.7151,-2.1961,1.6748,-3.1479
pos,320,-1.7155,-2.1948,1.6682,-3.1479
pos,321,-1.7159,-2.1935,1.6618,-3.1480
pos,322,-1.7163,-2.1922,1.6556,-3.1480
pos,323,-1.7167,-2.1908,1.6497,-3.1480
pos,324,-1.7171,-2.1894,1.6440,-3.1481
pos,325,-1.7175,-2.1880,1.6385,-3.1481
pos,326,-1.7179,-2.1866,1.6332,-3.1482
pos,327,-1.7183,-2.1851,1.6281,-3.1482
pos,328,-1.7187,-2.1836,1.6232,-3.1482
pos,329,-1.7191,-2.1820,1.6186,-3.1483
pos,330,-1.7195,-2.1804,1.6141,-3.1483
pos,331,-1.7199,-2.1788,1.6098,-3.1484
pos,332,-1.7204,-2.1772,1.6058,-3.1484
pos,333,-1.7208,-2.1755,1.6019,-3.1485
pos,334,-1.7212,-2.1738,1.5982,-3.1485
pos,335,-1.7216,-2.1720,1.5947,-3.1486
pos,336,-1.7221,-2.1703,1.5913,-3.1486
pos,337,-1.7225,-2.1684,1.5882,-3.1487
pos,338,-1.7230,-2.1666,1.5852,-3.1487
pos,339,-1.7234,-2.1646,1.5824,-3.1488
pos,340,-1.7239,-2.1627,1.5798,-3.1489
pos,341,-1.7244,-2.1607,1.5773,-3.1489
pos,342,-1.7248,-2.1586,1.5750,-3.1490
pos,343,-1.7253,-2.1566,1.5729,-3.1491
pos,344,-1.7258,-2.1544,1.5709,-3.1491
pos,345,-1.7263,-2.1522,1.5690,-3.1492
pos,346,-1.7268,-2.1500,1.5674,-3.1492
pos,347,-1.7273,-2.1477,1.5658,-3.1493
pos,348,-1.7279,-2.1454,1.5644,-3.1493
pos,349,-1.7284,-2.1429,1.5632,-3.1494
pos,350,-1.7290,-2.1405,1.5621,-3.1494
pos,351,-1.7295,-2.1380,1.5611,-3.1495
pos,352,-1.7301,-2.1354,1.5603,-3.1495
pos,353,-1.7307,-2.1327,1.5596,-3.1496
pos,354,-1.7313,-2.1300,1.5591,-3.1496
pos,355,-1.7319,-2.1272,1.5587,-3.1496
pos,356,-1.7326,-2.1243,1.5584,-3.1497
pos,357,-1.7332,-2.1214,1.5582,-3.1497
pos,358,-1.7339,-2.1184,1.5581,-3.1497
pos,359,-1.7345,-2.1153,1.5582,-3.1498
pos,360,-1.7352,-2.1122,1.5584,-3.1498
pos,361,-1.7359,-2.1089,1.5588,-3.1498
pos,362,-1.7366,-2.1056,1.5592,-3.1498
pos,363,-1.7374,-2.1021,1.5598,-3.1499
pos,364,-1.7381,-2.0986,1.5605,-3.1499
pos,365,-1.7389,-2.0950,1.5613,-3.1499
pos,366,-1.7397,-2.0913,1.5622,-3.1499
pos,367,-1.7405,-2.0875,1.5633,-3.1499
pos,368,-1.7414,-2.0836,1.5644,-3.1499
pos,369,-1.7422,-2.0796,1.5657,-3.1499
pos,370,-1.7431,-2.0755,1.5671,-3.1499
pos,371,-1.7440,-2.0713,1.5686,-3.1499
pos,372,-1.7449,-2.0670,1.5703,-3.1499
pos,373,-1.7459,-2.0625,1.5720,-3.1499
pos,374,-1.7468,-2.0580,1.5739,-3.1499
pos,375,-1.7478,-2.0533,1.5758,-3.1499
pos,376,-1.7489,-2.0485,1.5779,-3.1499
pos,377,-1.7499,-2.0436,1.5800,-3.1499
pos,378,-1.7510,-2.0385,1.5822,-3.1500
pos,379,-1.7521,-2.0334,1.5845,-3.1500
pos,380,-1.7532,-2.0281,1.5868,-3.1500
pos,381,-1.7544,-2.0226,1.5891,-3.1500
